session_id,user_id,session_start,session_end,device_type,referral_source,zip_code,pages_viewed,bounce,converted
SID00000,UID328,2025-03-03 23:02:43,2025-03-03 23:13:43,desktop,direct,60601,3,False,False
SID00001,UID58,2025-03-23 01:55:07,2025-03-23 01:56:07,mobile,paid_social,85001,3,False,False
SID00002,UID13,2025-03-23 23:13:13,2025-03-23 23:29:13,mobile,paid_search,10001,2,True,False
SID00003,UID380,2025-03-12 06:56:19,2025-03-12 07:15:19,desktop,paid_search,73301,2,False,False
SID00004,UID141,2025-03-03 21:06:41,2025-03-03 21:21:41,desktop,organic,10001,3,False,False
SID00005,UID126,2025-03-10 23:26:24,2025-03-10 23:32:24,mobile,paid_social,60601,3,True,False
SID00006,UID115,2025-03-04 01:56:32,2025-03-04 02:04:32,mobile,organic,90001,5,False,False
SID00007,UID72,2025-03-13 15:43:02,2025-03-13 15:56:02,mobile,paid_search,90001,3,True,False
SID00008,UID378,2025-03-08 06:42:30,2025-03-08 07:01:30,tablet,paid_social,73301,1,True,False
SID00009,UID53,2025-03-02 14:29:46,2025-03-02 14:34:46,mobile,paid_social,10001,6,False,False
SID00010,UID347,2025-03-20 03:47:21,2025-03-20 03:56:21,mobile,paid_social,10001,5,False,False
SID00011,UID380,2025-03-03 01:25:01,2025-03-03 01:32:01,desktop,paid_search,60601,0,False,False
SID00012,UID457,2025-03-06 20:42:09,2025-03-06 20:49:09,mobile,paid_search,85001,3,False,False
SID00013,UID280,2025-03-12 10:47:10,2025-03-12 10:59:10,desktop,direct,85001,1,True,False
SID00014,UID45,2025-03-18 20:23:27,2025-03-18 20:30:27,desktop,paid_social,60601,1,True,False
SID00015,UID303,2025-03-13 01:18:47,2025-03-13 01:26:47,tablet,organic,60601,3,False,False
SID00016,UID217,2025-03-16 01:44:17,2025-03-16 02:01:17,desktop,paid_search,90001,4,False,True
SID00017,UID17,2025-03-28 03:06:11,2025-03-28 03:08:11,desktop,organic,90001,3,False,False
SID00018,UID16,2025-03-19 10:20:04,2025-03-19 10:31:04,desktop,organic,10001,5,False,False
SID00019,UID48,2025-03-19 06:54:21,2025-03-19 06:55:21,desktop,paid_social,85001,3,False,False
SID00020,UID112,2025-03-09 14:50:57,2025-03-09 14:53:57,mobile,paid_social,73301,1,True,False
SID00021,UID120,2025-03-18 09:07:43,2025-03-18 09:17:43,mobile,organic,73301,6,False,False
SID00022,UID259,2025-03-30 01:30:34,2025-03-30 01:39:34,mobile,paid_social,10001,6,False,False
SID00023,UID309,2025-03-02 00:51:55,2025-03-02 00:57:55,mobile,paid_social,10001,2,False,False
SID00024,UID14,2025-03-27 21:25:56,2025-03-27 21:39:56,mobile,organic,10001,1,True,False
SID00025,UID288,2025-03-27 15:40:12,2025-03-27 15:56:12,mobile,paid_search,85001,2,False,False
SID00026,UID102,2025-03-13 08:31:34,2025-03-13 08:37:34,mobile,paid_social,10001,4,False,False
SID00027,UID367,2025-03-13 09:57:15,2025-03-13 10:13:15,desktop,direct,60601,4,False,True
SID00028,UID333,2025-03-22 02:05:57,2025-03-22 02:19:57,desktop,paid_search,10001,6,False,False
SID00029,UID360,2025-03-08 11:25:05,2025-03-08 11:35:05,tablet,paid_social,85001,3,False,False
SID00030,UID280,2025-03-12 03:41:58,2025-03-12 03:43:58,mobile,paid_search,90001,3,False,False
SID00031,UID215,2025-03-06 12:52:11,2025-03-06 13:05:11,mobile,organic,85001,2,True,False
SID00032,UID113,2025-03-27 15:01:57,2025-03-27 15:03:57,desktop,paid_search,73301,5,False,False
SID00033,UID230,2025-03-17 21:05:03,2025-03-17 21:15:03,mobile,organic,90001,3,False,False
SID00034,UID302,2025-03-27 16:14:26,2025-03-27 16:29:26,desktop,organic,10001,5,False,False
SID00035,UID143,2025-03-24 17:20:30,2025-03-24 17:25:30,desktop,organic,90001,3,False,True
SID00036,UID415,2025-03-01 21:52:33,2025-03-01 21:54:33,desktop,paid_search,73301,2,False,True
SID00037,UID446,2025-03-14 08:25:05,2025-03-14 08:37:05,desktop,organic,85001,5,False,False
SID00038,UID4,2025-03-11 21:15:26,2025-03-11 21:32:26,desktop,organic,85001,1,True,False
SID00039,UID389,2025-03-17 03:44:00,2025-03-17 04:00:00,desktop,direct,85001,1,True,False
SID00040,UID413,2025-03-30 04:59:25,2025-03-30 05:09:25,mobile,organic,85001,3,False,False
SID00041,UID82,2025-03-28 10:34:11,2025-03-28 10:53:11,mobile,paid_social,85001,9,False,False
SID00042,UID358,2025-03-24 15:31:22,2025-03-24 15:45:22,mobile,paid_social,90001,2,True,False
SID00043,UID217,2025-03-20 10:15:45,2025-03-20 10:22:45,desktop,paid_search,10001,4,False,True
SID00044,UID175,2025-03-08 23:09:08,2025-03-08 23:13:08,mobile,paid_search,85001,0,True,False
SID00045,UID143,2025-03-08 11:11:05,2025-03-08 11:16:05,mobile,paid_social,10001,2,True,False
SID00046,UID80,2025-03-04 07:14:41,2025-03-04 07:30:41,mobile,paid_social,60601,2,False,False
SID00047,UID111,2025-03-01 15:41:54,2025-03-01 15:50:54,desktop,organic,73301,0,False,False
SID00048,UID491,2025-03-30 02:47:59,2025-03-30 02:51:59,desktop,direct,73301,3,False,False
SID00049,UID391,2025-03-21 01:51:45,2025-03-21 01:56:45,mobile,organic,85001,1,True,False
SID00050,UID173,2025-03-21 00:28:16,2025-03-21 00:38:16,mobile,paid_search,60601,1,True,False
SID00051,UID53,2025-03-24 00:33:21,2025-03-24 00:38:21,mobile,paid_social,85001,3,True,False
SID00052,UID48,2025-03-17 12:47:33,2025-03-17 13:06:33,mobile,paid_social,73301,3,False,False
SID00053,UID195,2025-03-08 01:31:03,2025-03-08 01:49:03,mobile,paid_search,90001,2,False,False
SID00054,UID50,2025-03-21 08:29:35,2025-03-21 08:46:35,desktop,organic,85001,4,False,True
SID00055,UID184,2025-03-24 05:36:59,2025-03-24 05:49:59,mobile,paid_search,90001,0,True,False
SID00056,UID434,2025-03-05 20:38:36,2025-03-05 20:53:36,mobile,paid_search,60601,3,False,False
SID00057,UID177,2025-03-22 18:17:28,2025-03-22 18:23:28,mobile,paid_search,85001,5,False,False
SID00058,UID310,2025-03-03 15:46:48,2025-03-03 15:51:48,mobile,organic,73301,3,False,False
SID00059,UID136,2025-03-04 15:30:16,2025-03-04 15:43:16,tablet,paid_search,10001,3,False,False
SID00060,UID414,2025-03-13 17:53:02,2025-03-13 17:54:02,mobile,direct,85001,4,False,False
